Title	URL	Assignees	Status
Decide whether we introduce the code generation	https://github.com/ProximaEPFL/proxima/issues/194		Product Backlog
Bug: error message on login out from challenges	https://github.com/ProximaEPFL/proxima/issues/217	Aderfish	Sprint Backlog
Removing identical testing	https://github.com/ProximaEPFL/proxima/issues/207		Product Backlog
Make the random mock generators seeded	https://github.com/ProximaEPFL/proxima/issues/203		Product Backlog
Create method for distance computation	https://github.com/ProximaEPFL/proxima/issues/204		Product Backlog
Make a view-model for the map	https://github.com/ProximaEPFL/proxima/issues/166		Product Backlog
Decide on the use of `delayNeededForAsyncFunctionExecution` where not absolutely necessary in testing and apply the choice project wide	https://github.com/ProximaEPFL/proxima/issues/201		Product Backlog
Manage the possible errors that can arise when voting with no internet connection	https://github.com/ProximaEPFL/proxima/issues/160		Product Backlog
Add a button on the posts of the profile page that redirect to their position on the map	https://github.com/ProximaEPFL/proxima/issues/184		Product Backlog
Make the profile picture component dynamically adapt to the username everywhere	https://github.com/ProximaEPFL/proxima/issues/183		Product Backlog
As a Proxima user, I want the option to sort my feed based on upvotes, downvotes, or publication time, so I can prioritize content according to my preferences.	https://github.com/ProximaEPFL/proxima/issues/6		Product Backlog
As a user, I want to be able to comment on a post, so that I can share my thoughts about it.	https://github.com/ProximaEPFL/proxima/issues/91		Sprint Backlog
As a Proxima user, I want to have the ability to delete my posts even if I'm not currently near their locations, to have complete control over my online image.	https://github.com/ProximaEPFL/proxima/issues/12		Sprint Backlog
As a Proxima user, I want to see a map with the position of the posts of my feed, so that I can know exactly where they were posted	https://github.com/ProximaEPFL/proxima/issues/136		Sprint Backlog
As a user, I want to see the challenges in my in a distinctive manner with a different visual representation and sorting	https://github.com/ProximaEPFL/proxima/issues/210		Sprint Backlog
As a user, I want to see a message when I gain centauri points, so that I can feel rewarded for my efforts.	https://github.com/ProximaEPFL/proxima/issues/202		Sprint Backlog
Refresh post feed on post delete	https://github.com/ProximaEPFL/proxima/issues/205	camillelnne	Sprint Backlog
Make the Google Map API key secret	https://github.com/ProximaEPFL/proxima/issues/153	Aderfish	Sprint Backlog
Delete the subcollection of a post when a poost is deleted	https://github.com/ProximaEPFL/proxima/issues/206	Aderfish	Sprint Backlog
