Title	URL	Assignees	Status	Time estimate	Real time	Labels	Linked pull requests	Milestone	Reviewers	Sprint	Nature	Task Type	Priority	Epics
As a user, I want to be able to gain badges, so that I can show off much I used the app.	https://github.com/ProximaEPFL/proxima/issues/287		Product Backlog											Epic
As a user I want to be able to see where a post is on the map from the post view, so that I can know exactly where it was posted.	https://github.com/ProximaEPFL/proxima/issues/309		Product Backlog								User stories			
As a proxima user, I want to be notified when my location service are misconfigured so that I can correctly configure to use and enjoy the app.	https://github.com/ProximaEPFL/proxima/issues/50		Product Backlog								User stories			
As a user, I want to be able to upvote and downvote comments, so that interesting ones rise to the top	https://github.com/ProximaEPFL/proxima/issues/93		Product Backlog								User stories			
Add a button on the posts of the profile page that redirect to their position on the map	https://github.com/ProximaEPFL/proxima/issues/184		Product Backlog											
As a user, I want to receive badges, so that I can show off all the things I did in the app.	https://github.com/ProximaEPFL/proxima/issues/308		Product Backlog								User stories			
Improve near post fetching in post page view model	https://github.com/ProximaEPFL/proxima/issues/264		Product Backlog											
Change the number of challenge rewards points according to the distance to travel	https://github.com/ProximaEPFL/proxima/issues/232		Product Backlog											
Update account creation validation	https://github.com/ProximaEPFL/proxima/issues/281		Product Backlog											
Bug fix: Error thrown on logout on emulator	https://github.com/ProximaEPFL/proxima/issues/260		Product Backlog											
Colorblind Accessibility Enhancement	https://github.com/ProximaEPFL/proxima/issues/274		Product Backlog											
Create method for distance computation	https://github.com/ProximaEPFL/proxima/issues/204		Product Backlog											
Decide on the use of `delayNeededForAsyncFunctionExecution` where not absolutely necessary in testing and apply the choice project wide	https://github.com/ProximaEPFL/proxima/issues/201		Product Backlog											
Points in the user profile are not updated, they do not always reflect the database	https://github.com/ProximaEPFL/proxima/issues/198		Product Backlog									Bug		
Refactor fallback on error widget	https://github.com/ProximaEPFL/proxima/issues/186		Product Backlog											
As a Proxima user, I want to have the ability to delete my comments even if I'm not currently near their locations, to have complete control over my online image.	https://github.com/ProximaEPFL/proxima/issues/175		Done in Sprint 8											
As a user, I want the app to have a nice icon, so that I can find it in my apps.	https://github.com/ProximaEPFL/proxima/issues/129		Done in Sprint 8											
As a proxima user, I want a refresh button that updates my feed with new nearby posts and hints that new posts are available, so I am encouraged to refresh my feed when new info is available.	https://github.com/ProximaEPFL/proxima/issues/126		Product Backlog								User stories			
